level_0,index,Address,Area,Broker,Broker_Company,Distance,New,Price,Price/m2,Rooms,Title,url,lon,lat,Street,StreetNumber,Neigh,City,Construction_Year,Type,Zip_Region,bathroom,Modernization,Precision
182,83,"Prenzlauer Berg, Berlin",54.0,Team Argos,Argos Real Estate GmbH,1.89,1.0,285.0,5.278,2 ,NEUPrenzlauer Berg: Bezugsfreie 2-Zi-Altbauwohnung,https://www.immobilienscout24.de/expose/123166607,13.4285652,52.5398466,,,Prenzlauer Berg, Berlin,, Etagenwohnung ,"10439 Berlin, Prenzlauer Berg",1.0,,0.0
181,53,"Osloer Straße 114, Gesundbrunnen, Berlin",58.5,Verkaufsteam,TRENDCITY GmbH,1.89,1.0,234.0,4.0,2 ,NEUHandwerkerobjekt mit Potential ,https://www.immobilienscout24.de/expose/122884783,13.386061,52.5554297,Osloer Straße,114, Gesundbrunnen, Berlin,1910.0, Etagenwohnung ,"13359 Berlin, Gesundbrunnen",,,1.0
180,163,"Prenzlauer Berg, Berlin",99.0,Herr Thomas Grüger,BSK Immobilien GmbH,1.89,0.0,550.0,5.556,3 ,Einziehen und Wohlfühlen: großzügige Wohnung im beliebten Nordischen Viertel von Prenzlauer Berg,https://www.immobilienscout24.de/expose/115391479,13.4285652,52.5398466,,,Prenzlauer Berg, Berlin,1911.0, Etagenwohnung ,"10439 Berlin, Prenzlauer Berg",, zuletzt 2014 ,0.0
179,164,"Osloer Straße 114, Gesundbrunnen, Berlin",400.87,Verkaufsteam,TRENDCITY GmbH,1.89,0.0,562.0,1.402,10 ,Dachgeschossrohling im modernisierten Altbau,https://www.immobilienscout24.de/expose/113112539,13.386061,52.5554297,Osloer Straße,114, Gesundbrunnen, Berlin,1910.0, Dachgeschoss ,"13359 Berlin, Gesundbrunnen",,,1.0
177,26,"Osloer Straße 114, Gesundbrunnen, Berlin",53.21,Verkaufsteam,TRENDCITY GmbH,1.89,0.0,178.395,3.353,2 ,"Ruhige, vermietete Altbauwohnung in modernisiertem Altbau",https://www.immobilienscout24.de/expose/122755730,13.386061,52.5554297,Osloer Straße,114, Gesundbrunnen, Berlin,1910.0, Etagenwohnung ,"13359 Berlin, Gesundbrunnen",,,1.0
176,117,"Osloer Straße 114, Gesundbrunnen, Berlin",74.05,Verkaufsteam,TRENDCITY GmbH,1.89,0.0,375.9,5.0760000000000005,2 ,Altbautraum im ruhigen Seitenflügel,https://www.immobilienscout24.de/expose/118229437,13.386061,52.5554297,Osloer Straße,114, Gesundbrunnen, Berlin,1910.0, Erdgeschosswohnung ,"13359 Berlin, Gesundbrunnen",,,1.0
178,128,"Prenzlauer Berg, Berlin",58.48,Herr Christian Gröbler,Gröbler Immobilien-und Finanzservice GmbH,1.89,1.0,399.0,6.823,2 ,NEUErstbezug nach Sanierung - ruhige 2 Zimmer Altbauwohnung mit Balkon,https://www.immobilienscout24.de/expose/123501018,13.4285652,52.5398466,,,Prenzlauer Berg, Berlin,1900.0, Etagenwohnung ,"10439 Berlin, Prenzlauer Berg",1.0, zuletzt 2020 ,0.0
174,72,"Osloer Straße 114, Gesundbrunnen, Berlin",78.5,Verkaufsteam,TRENDCITY GmbH,1.89,0.0,260.65,3.32,3 ,Investment im gepflegten Altbau in Mitte ,https://www.immobilienscout24.de/expose/122756644,13.386061,52.5554297,Osloer Straße,114, Gesundbrunnen, Berlin,1910.0, Etagenwohnung ,"13359 Berlin, Gesundbrunnen",,,1.0
173,73,"Osloer Straße 114, Gesundbrunnen, Berlin",52.94,Verkaufsteam,TRENDCITY GmbH,1.89,0.0,264.9,5.004,2 ,Charmante Terrassenwohnung im Erdgeschoss ,https://www.immobilienscout24.de/expose/113032270,13.386061,52.5554297,Osloer Straße,114, Gesundbrunnen, Berlin,1910.0, Erdgeschosswohnung ,"13359 Berlin, Gesundbrunnen",,,1.0
172,179,"Osloer Straße 114, Gesundbrunnen, Berlin",132.0,Verkaufsteam,TRENDCITY GmbH,1.89,0.0,655.0,4.962,4 ,Modernisierte Altbauwohnung im ruhigen Seitenflügel,https://www.immobilienscout24.de/expose/121559797,13.386061,52.5554297,Osloer Straße,114, Gesundbrunnen, Berlin,1910.0, Etagenwohnung ,"13359 Berlin, Gesundbrunnen",,,1.0
